rel_orig;standaardisering 1;Standaardisering 2
-;;
?;;Onbepaald
???;;Onbepaald
A.;;Onbepaald
AE;Engels Episcopaals;Engels Episcopaals
AF;Afgodisch;Paganistisch
Her;Hernhutter;Onbepaald
ao;Evangelisch;Evangelisch
BB;Geen Religie;Geen Religie
BC;Bischoppaals;Bischoppaals
BI;Bischoppaals;Bischoppaals
BIS;Bischoppaals;Bischoppaals
Bisher.;Bisher.;Onbepaald
CA;Calvinistisch;Calvinistisch
CAL;Calvinistisch;Calvinistisch
Calm;Calvinistisch;Calvinistisch
Calvernt.;Calvinistisch;Calvinistisch
CG;Christelijk;Christelijk
CH;Christelijk;Christelijk
DG;Doopsgezind;Doopsgezind
Deist;Deist;Deist
E.B.G.;Evangelische Broedergemeente;Evangelische Broedergemeente
EK;Engelse Kerk;Engelse Kerk
ENG;Engelse Kerk;Engelse Kerk
Engels;Engelse Kerk;Engelse Kerk
Engels Episcopaals;Engels Episcopaals;Engels Episcopaals
Engelse kerk;Engelse Kerk;Engelse Kerk
EP;Episcopaals;Episcopaals
EPI;Episcopaals;Episcopaals
epic;Episcopaals;Episcopaals
EPIS;Episcopaals;Episcopaals
EPISC;Episcopaals;Episcopaals
Episc.;Episcopaals;Episcopaals
Episcop.;Episcopaals;Episcopaals
Episcopaals;Episcopaals;Episcopaals
Episcopaalse Kerk;Episcopaals;Episcopaals
EV;Evangelisch;Evangelisch
Evang B. G.;Evangelische Broedergemeente;Evangelische Broedergemeente
Evangelisch;Evangelisch;Evangelisch
Evangelisch Luthers;Evangelisch Luthers;Evangelisch Luthers
Evangelisch-Luthers;Evangelisch Luthers;Evangelisch Luthers
Evangels Br: Gem:;Evangelische Broedergemeente;Evangelische Broedergemeente
GE;Gereformeerd;Gereformeerd
geen;Geen Religie;Geen Religie
geen bepaalde religie;Geen Religie;Geen Religie
GER;Gereformeerd;Gereformeerd
Gerefd.;Gereformeerd;Gereformeerd
GG;Geen Religie;Geen Religie
H;Hervormd;Hervormd
H.H.;Hernhutter;Evangelische Broedergemeente
H.J.G.;Hoogduits Joods;Asjkenazisch Joods
HB;Hernhutter;Evangelische Broedergemeente
HD;Heiden;Paganistisch
HE;Hervormd;Hervormd
HE ;Hervormd;Hervormd
HEHE;Hervormd;Hervormd
HEI;Heiden;Paganistisch
HEI HEI;Heiden;Paganistisch
Heiden;Heiden;Paganistisch
Hernh.;Hernhutter;Evangelische Broedergemeente
Hernutten;Hernhutter;Evangelische Broedergemeente
Herv.;Hervormd;Hervormd
Hervorm;Hervormd;Hervormd
"hervormd gedoopt;";Hervormd;Hervormd
HH;Hernhutter;Evangelische Broedergemeente
HI;Hoogduits Israeliet;Asjkenazisch Joods
HIS;Hoogduits Israeliet;Asjkenazisch Joods
Hoogd H;Hoogduits Israeliet;Asjkenazisch Joods
Hoogd J: G:;Hoogduits Israeliet;Asjkenazisch Joods
IR;Israeliet;Joods
IRS;Israeliet;Joods
IS;Israeliet;Joods
ISR;Israeliet;Joods
Israel.;Israeliet;Joods
J.G.;Joods;Joods
JD;Joods;Joods
JG;Joods;Joods
JIS;Joods;Joods
Jood;Joods;Joods
Joods;Joods;Joods
Joodse Godsdienst;Joods;Joods
Jsraell:;Israeliet;Joods
Katol:;Katholiek;Rooms-Katholiek
LE;Luthers;Luthers
LU;Luthers;Luthers
LU LU;Luthers;Luthers
Luthersch;Luthers;Luthers
LUY;Luthers;Luthers
M.B.G.;Moravische Broedergemeente;Evangelische Broedergemeente
MA;Mohammedaan;Moslim
mahomedaan;Mohammedaan;Moslim
MB;Moravisch;Evangelische Broedergemeente
MEN;Mennoniet;Mennoniet
MN;Mennoniet;Mennoniet
MOH;Mohammedaan;Moslim
Morav;Moravische Broedergemeente;Evangelische Broedergemeente
Morav:;Moravische Broedergemeente;Evangelische Broedergemeente
Moravisch;Moravische Broedergemeente;Evangelische Broedergemeente
N.J.G.;Ned. Joods;Joods
Ned. HIS;Nederlands Hoogduits Joods;Asjkenazisch Joods
Nederl. Portug. Israel.;Nederlands-Portugees Israeliet;Sefardisch Joods
Nederlands PIS;Nederlands-Portugees Israeliet;Sefardisch Joods
NHI;Nederlands Hoogduits Joods;Asjkenazisch Joods
NHIS;Nederlands Hoogduits Joods;Asjkenazisch Joods
NI;Ned. Israeliet;Joods
niet gedoopt;Niet gedoopt;Paganistisch
NIS;Ned. Israeliet;Joods
NIS ;Ned. Israeliet;Joods
NPI;Nederlands-Portugees Israeliet;Sefardisch Joods
NPIS;Nederlands-Portugees Israeliet;Sefardisch Joods
Oa;Onbekend;Onbekend
ON;Onbekend;Onbekend
onb;Onbekend;Onbekend
P.J.G.;Portugees Joods;Sefardisch Joods
PI;Portugees Israeliet;Sefardisch Joods
PIS;Portugees Israeliet;Sefardisch Joods
PISS;Portugees Israeliet;Sefardisch Joods
Port: J: G:;Portugees Joods;Sefardisch Joods
PR;Protestant;Protestant
PRES;Presbyteriaan;Presbyterisch
PRO;Protestant;Protestant
Protest.;Protestant;Protestant
PrS;Presbyteriaan;Presbyterisch
PRY;Presbyteriaan;Presbyterisch
R.C.;Rooms-Katholiek;Rooms-Katholiek
R: C:;Rooms-Katholiek;Rooms-Katholiek
RC;Rooms-Katholiek;Rooms-Katholiek
RE;Remonstrant;Remonstrant
RF;Reformed;Hervormd
RK;Rooms-Katholiek;Rooms-Katholiek
RK ;Rooms-Katholiek;Rooms-Katholiek
RK GE;Rooms-Katholiek;Rooms-Katholiek
RK RK;Rooms-Katholiek;Rooms-Katholiek
RKGE;Rooms-Katholiek;Rooms-Katholiek
Schotskerk;Schotse Kerk;Schotse Kerk
Timmerman;;Onbepaald
Vormel.;Vormel.;Onbepaald
Vroedvrouw;;Onbepaald
WA;Waalse Kerk;Waalse Kerk
Waalsch;Waalse Kerk;Waalse Kerk
Walon;Waalse Kerk;Waalse Kerk
WK;Waalse Kerk;Waalse Kerk
WLK;Waalse Kerk;Waalse Kerk
