fid,label1882,X_coord,Y_coord
1,Oranje,624943.891629353,655560.685937372
2,Purmerend,563184.239914193,650868.671837478
3,Nieuw Amsterdam,565722.723409199,651424.341466781
4,Fort Zeelandia,558964.520359115,644095.622717077
5,Poelepantje,556211.672861029,643157.515363817
8,Frederici,562939.153099601,654952.402901533
9,Oost Leijden,564593.844027336,653309.310039026
11,Sommelsdijk,590814.964696677,648644.780621088
12,Epratha,602982.979573385,646903.663100397
13,Belair,615013.553464947,638189.844740786
14,Vreedenburg,624862.309591635,651990.391407697
15,Jericho,635270.995290583,641718.040879398
16,Landswelvaren,640591.660896167,640608.163526791
17,L'Esperance,610837.993359421,627055.828557643
18,Oranjbo,613803.633286936,604816.379914804
19,Imotappi,614652.345340132,613712.129794712
20,Haarlem,609966.186219514,612453.552452751
21,Mauritsburg,597735.234709932,609053.999273679
22,Stabroek,599200.318398048,609386.005504252
23,Den Haag,603421.458362055,610591.573038311
24,Piket 6,600618.381685425,609778.477610613
25,Amsterdam,602011.721966344,610160.942140926
26,Piket 7,604891.180608245,611043.345061627
27,Nepveusburg,606379.732854432,611426.364353043
28,Leijden,608181.664520869,611931.253419001
29,Piket8,612208.914933426,613087.256668938
30,Frederiksdorp,588365.710240614,602654.30063653
31,Piket 1,579629.317342545,601176.245815702
32,Holland,582136.352704545,601646.314946077
33,Utrecht,580791.432692639,601411.28038089
34,Gelderland,577466.127319306,600810.632855368
35,Piket 2,583405.737388925,601835.157359457
36,Piket 3,586976.430971679,602423.208334408
37,Buren,585813.683681953,602216.179834858
38,Friesland,584643.205126014,602040.617298958
39,Piket 4,589531.236524053,603604.936322639
40,Overijssel,590776.049221157,604558.132059233
41,Groningen,594192.75540027,607099.987356815
42,Drenthe,595665.933074064,608061.951848808
43,Piket 5,593139.452348874,606316.53880619
44,Zeeland,591764.064893333,605315.46565817
45,Carolinenburg,563832.902687772,588706.033886977
46,Saron,535761.423633501,593996.443916324
47,Domburg,566686.56034906,630727.484769588
48,Uitkijk,537405.15371806,638890.826644974
49,Bakramasanga,543281.59810812,643393.747754528
50,Groningen,523208.543034864,640860.11524004
51,Braak,490990.754287984,646273.469917
52,Nassau,481134.598598284,646179.441332657
53,Hollandia,554837.278833942,589256.810251485
54,Victoria,577799.70908489,563045.453813166
55,Huguesburg,575506.197950403,551631.34211799
56,,484531.181174184,646126.689299985
57,De Unie,629585.043674742,650803.359005832
58,Piket 20,629506.69881968,648975.312387707
59,Piket 19,629209.810009644,643557.85327884
60,Piket 18,629125.628072169,643113.971090003
61,Oranjewoud,628968.092237682,641605.868689643
62,Piket 17,628792.05048766,640499.636710646
63,Willemsburg,628663.392408603,639641.293503313
64,Piket 16,627142.269301126,639557.285994519
65,Weilburg,625764.041140723,639515.992070637
66,Maastricht,624315.56862239,639384.414907334
67,Piket 15,622830.312373271,639220.594768218
68,'s Hertogenbosch,621342.196721313,639056.006515461
69,'t Loo,619922.511550371,636840.56483692
70,Brunswijk,619207.325023111,635621.165198738
71,Piket 13,618357.984808245,634246.543030345
72,Wolfenbuttel,617574.36273206,633056.927836133
73,Honkoop,617179.357424595,632425.675552262
74,Piket 12,616729.216540937,631771.196593432
75,Rietwijk,614946.954363965,631177.016270765
76,De Hoop,610374.550851487,628150.898297397
77,Piket 10,611402.48547859,626041.764329784
78,Piket 9,612181.964905561,620720.80085004
79,Prins Willem Frederik Hendrik,688530.298459408,637185.515472581
80,Armina,646049.94234878,568633.777953215
81,Nieuw Nickerie,355166.331682673,657938.205943109
82,Nieuw Rotterdam,353791.567641057,660679.163235651
83,Coronie,427515.198208424,651025.041965165
84,Piket 11,611494.545110588,629380.858613615
