qid;name;source;sourceYear
Q4392658;Kl. Suzanna'sdal;map_1860-79;1870
Q59133899;Stalkertsvl en Buyslust;map_1930;1930
Q59134036;Vriendsbeleid en Ouderzorg;map_1930;1930
Q59132787;Mon tr�sor;map_1930;1930
Q59116838;Kulenkamp spruit;map_1930;1930
Q59115315;Broeders gift;map_1860-79;1870
Q124831185;La Palix;map_1860-79;1870
Q59116956;Andreesgift;map_1860-79;1870
Q59115149;Pieterszorg;map_1860-79;1870
Q2321835;Einde rust;map_1860-79;1870
Q59115545;Lust tot Rust;map_1860-79;1870
Q59115279;Aan Bodemburg;map_1860-79;1870
Q59133977;Vaderszorg en Karelsdeel;map_1930;1930
Q59115362;Vaderszorg en Karelsdeel;map_1930;1930
Q59116915;Labadies hoop;map_1860-79;1870
Q59115265;Blijden Hoop;map_1860-79;1870
Q59115545;Rust en Werk;map_1860-79;1870
Q59116976;Rhijnie;map_1860-79;1870
Q124832148;Hern. Kerk en School;map_1860-79;1870
Q59133966;Mon plaisir;map_1930;1930
Q59133966;Uit en t'huis;map_1860-79;1870
Q59133996;Visschershaven;map_1860-79;1870
Q59132863;Nieuw va comme je te pausse;map_1860-79;1870
Q59132890;Klein Onverwacht;map_1860-79;1870
Q124830730;Anna's rust en Haast u langzaam;map_1930;1930
Q124815043;Anna's rust en Haast u langzaam;map_1930;1930
Q59115477;De Oude Bijenkorft;map_1860-79;1870
Q59116900;La Ressource;map_1860-79;1870
Q124831565;Maria's lust en la Solitude;map_1930;1930
Q59133029;Vriendsbeleid en Ouderzorg;map_1930;1930
Q124830445;De drie gebroeders;map_1930;1930
Q135395229;De drie gebroeders;map_1930;1930
Q124832563;2;map_1860-79;1870
Q59116858;Aan Loefbeek;map_1930;1930
Q124831607;4;map_1860-79;1870
Q59119413;7;map_1860-79;1870
Q124832563;2;map_1860-79;1870
Q59133100;Pot;map_1930;1930
Q124830243;Nieuwe Hoop;map_1930;1930
Q59133829;Simirintibo;map_1930;1930
Q21000077;Hazard;map_1930;1930
Q59115576;Faugemburg;map_1930;1930
Q59115576;Fauqenburg;map_1860-79;1870
Q59132843;Klein Cullenburg;map_1930;1930
Q124805743;Zeldenrust en Welgelegen;map_1930;1930
Q59115664;Gustaafsdaal;map_1930;1930
Q59132783;Mon Sort;map_1930;1930
Q59132761;Mon Bijou;map_1930;1930
Q135395210;Aan Pateintia;map_1860-79;1870
Q59132844;Aan Klein Cuilenburg;map_1930;1930
Q59115607;Elisabeth;map_1930;1930
Q59115607;Geertruida;map_1930;1930
Q59133211;Bustveld;map_1860-79;1870
Q59115453;De Goudmijn;map_1930;1930
Q59116931;Le Mat Rouge;map_1930;1930
Q59132783;Mon Sort;map_1930;1930
Q935545;20;map_1860-79;1870
Q59132974;Aan Onverdacht;map_1930;1930
Q59132975;Aan Onverdacht;map_1930;1930
Q59132974;Aan Onverdracht;map_1860-79;1870
Q59132975;Aan Onverdacht;map_1930;1930
Q33181177;De drie gebroeders;map_1930;1930
Q33181177;De Guinesche Vriendschap;map_1860-79;1870
Q135395250;Maria's lust en toevlugt;map_1930;1930
Q124824456;Cayenne Industrie;map_1930;1930
Q124832258;v. Engel;map_1860-79;1870
Q59133947;1;map_1860-79;1870
Q124832563;3;map_1860-79;1870
Q59115683;6;map_1860-79;1870
Q59115229;12;map_1860-79;1870
Q59119413;10;map_1860-79;1870
Q124823173;11;map_1860-79;1870
Q124831607;1;map_1860-79;1870
Q59115370;Carracat;map_1860-79;1870
Q59115178;Aan Auca;map_1860-79;1870
Q59133031;Overtoom en Vreeland;map_1930;1930
Q135395268;Vellerskamp;map_1930;1930
Q28657049;Botanyday;map_1860-79;1870
Q20979831;Longway;map_1930;1930
Q59133100;Pot;map_1930;1930
Q59115433;Daphina's zorg;map_1930;1930
Q59116888;La Prevayance;map_1860-79;1870
Q124830243;Nieuwe Hoop;map_1930;1930
Q59115206;Beerenrust;map_1860-79;1870
Q59117037;Maltana�m;map_1860-79;1870
Q124831565;Maria's lust en la Solitude;map_1930;1930
Q59115744;Johanna's hoop;map_1860-79;1870
Q59116900;La Ressource;map_1860-79;1870
Q59115740;Johanna Petronella;map_1860-79;1870
Q3255570;Beckenshorst;map_1860-79;1870
Q13637207;Fortuin;map_1930;1930
Q59132800;Montaubon;map_1860-79;1870
Q59118001;Triangel;map_1860-79;1870
